Epoch 84, Loss: 1.4870859384536743, Test accuracy: 0.4046069085597992
Epoch 85, Loss: 1.4846949577331543, Test accuracy: 0.4048573076725006
Epoch 86, Loss: 1.4813863039016724, Test accuracy: 0.40535804629325867
Epoch 87, Loss: 1.4796665906906128, Test accuracy: 0.4056084156036377
Epoch 88, Loss: 1.4769346714019775, Test accuracy: 0.40635955333709717
Epoch 89, Loss: 1.4767675399780273, Test accuracy: 0.4076114296913147
Epoch 90, Loss: 1.473271131515503, Test accuracy: 0.4088633060455322
Epoch 91, Loss: 1.473206639289856, Test accuracy: 0.4096144139766693
Epoch 92, Loss: 1.4699115753173828, Test accuracy: 0.41011518239974976
Epoch 93, Loss: 1.4681912660598755, Test accuracy: 0.41111668944358826
Epoch 94, Loss: 1.465254306793213, Test accuracy: 0.4113670587539673
Epoch 95, Loss: 1.464593529701233, Test accuracy: 0.4116174280643463
Epoch 96, Loss: 1.4613664150238037, Test accuracy: 0.4123685657978058
Epoch 97, Loss: 1.4592307806015015, Test accuracy: 0.41387081146240234
Epoch 98, Loss: 1.4568285942077637, Test accuracy: 0.41487231850624084
Epoch 99, Loss: 1.4557511806488037, Test accuracy: 0.4153730571269989
Epoch 100, Loss: 1.4538036584854126, Test accuracy: 0.4156234562397003
Epoch 101, Loss: 1.4524824619293213, Test accuracy: 0.4161241948604584
Epoch 102, Loss: 1.448238730430603, Test accuracy: 0.41687533259391785
Epoch 103, Loss: 1.4484606981277466, Test accuracy: 0.41787680983543396
Epoch 104, Loss: 1.4439674615859985, Test accuracy: 0.41862794756889343
Epoch 105, Loss: 1.4419903755187988, Test accuracy: 0.4193790853023529
Epoch 106, Loss: 1.4423744678497314, Test accuracy: 0.41987982392311096
Epoch 107, Loss: 1.4391263723373413, Test accuracy: 0.4203805923461914
Epoch 108, Loss: 1.437577486038208, Test accuracy: 0.42063096165657043
Epoch 109, Loss: 1.4342758655548096, Test accuracy: 0.42088133096694946
Epoch 110, Loss: 1.4324654340744019, Test accuracy: 0.42163246870040894
Epoch 111, Loss: 1.4324203729629517, Test accuracy: 0.422383576631546
Epoch 112, Loss: 1.4280105829238892, Test accuracy: 0.4233850836753845
Epoch 113, Loss: 1.428436517715454, Test accuracy: 0.42463696002960205
Epoch 114, Loss: 1.4255521297454834, Test accuracy: 0.4253880977630615
Epoch 115, Loss: 1.4226638078689575, Test accuracy: 0.42563846707344055
Epoch 116, Loss: 1.4212449789047241, Test accuracy: 0.4263896048069
Epoch 117, Loss: 1.420286774635315, Test accuracy: 0.42663997411727905
Epoch 118, Loss: 1.4173835515975952, Test accuracy: 0.42839258909225464
Epoch 119, Loss: 1.4150344133377075, Test accuracy: 0.42939409613609314
Epoch 120, Loss: 1.4121904373168945, Test accuracy: 0.4301452338695526
Epoch 121, Loss: 1.4103307723999023, Test accuracy: 0.4311467409133911
Epoch 122, Loss: 1.410378098487854, Test accuracy: 0.4318978488445282
Epoch 123, Loss: 1.4074578285217285, Test accuracy: 0.4328993558883667
Epoch 124, Loss: 1.4053653478622437, Test accuracy: 0.4339008629322052
Epoch 125, Loss: 1.405239224433899, Test accuracy: 0.4346519708633423
Epoch 126, Loss: 1.4004353284835815, Test accuracy: 0.4356534779071808
Epoch 127, Loss: 1.3985930681228638, Test accuracy: 0.43740612268447876
Epoch 128, Loss: 1.3977580070495605, Test accuracy: 0.4376564919948578
Epoch 129, Loss: 1.3964470624923706, Test accuracy: 0.4376564919948578
Epoch 130, Loss: 1.3956243991851807, Test accuracy: 0.4386579990386963
Epoch 131, Loss: 1.392906665802002, Test accuracy: 0.4396595060825348
Epoch 132, Loss: 1.3893526792526245, Test accuracy: 0.44016024470329285
Epoch 133, Loss: 1.3873618841171265, Test accuracy: 0.44016024470329285
Epoch 134, Loss: 1.3855069875717163, Test accuracy: 0.4419128894805908
Epoch 135, Loss: 1.3844658136367798, Test accuracy: 0.4426639974117279
Epoch 136, Loss: 1.3849915266036987, Test accuracy: 0.44291436672210693
Epoch 137, Loss: 1.3806511163711548, Test accuracy: 0.4436655044555664
Epoch 138, Loss: 1.3798503875732422, Test accuracy: 0.4446670114994049
Epoch 139, Loss: 1.3759164810180664, Test accuracy: 0.44491738080978394
Epoch 140, Loss: 1.3742296695709229, Test accuracy: 0.4456685185432434
Epoch 141, Loss: 1.3719911575317383, Test accuracy: 0.44616925716400146
Epoch 142, Loss: 1.3710066080093384, Test accuracy: 0.44692039489746094
Epoch 143, Loss: 1.3713244199752808, Test accuracy: 0.44792190194129944
Epoch 144, Loss: 1.3667049407958984, Test accuracy: 0.44917377829551697
Epoch 145, Loss: 1.3655163049697876, Test accuracy: 0.45092639327049255
Epoch 146, Loss: 1.3627569675445557, Test accuracy: 0.451677531003952
Epoch 147, Loss: 1.3616691827774048, Test accuracy: 0.451427161693573
Epoch 148, Loss: 1.3596546649932861, Test accuracy: 0.46845269203186035
Epoch 149, Loss: 1.3586071729660034, Test accuracy: 0.49173760414123535
Epoch 150, Loss: 1.3560755252838135, Test accuracy: 0.49649474024772644
Epoch 151, Loss: 1.3529272079467773, Test accuracy: 0.48798197507858276
Epoch 152, Loss: 1.3537846803665161, Test accuracy: 0.4759639501571655
Epoch 153, Loss: 1.348841667175293, Test accuracy: 0.46745118498802185
Epoch 154, Loss: 1.3487063646316528, Test accuracy: 0.45968952775001526
Epoch 155, Loss: 1.3480299711227417, Test accuracy: 0.4551827907562256
Epoch 156, Loss: 1.3453351259231567, Test accuracy: 0.4561842978000641
Epoch 157, Loss: 1.3417149782180786, Test accuracy: 0.45593389868736267
Epoch 158, Loss: 1.3403877019882202, Test accuracy: 0.4561842978000641
Epoch 159, Loss: 1.3389984369277954, Test accuracy: 0.4574361741542816
Epoch 160, Loss: 1.3375537395477295, Test accuracy: 0.4589384198188782
Epoch 161, Loss: 1.334761619567871, Test accuracy: 0.4591887891292572
Epoch 162, Loss: 1.332923412322998, Test accuracy: 0.4601902961730957
Epoch 163, Loss: 1.3321824073791504, Test accuracy: 0.4609414339065552
Epoch 164, Loss: 1.3284218311309814, Test accuracy: 0.4611918032169342
Epoch 165, Loss: 1.328478455543518, Test accuracy: 0.46169254183769226
Epoch 166, Loss: 1.3255488872528076, Test accuracy: 0.46169254183769226
Epoch 167, Loss: 1.3231737613677979, Test accuracy: 0.4619429111480713
Epoch 168, Loss: 1.3226732015609741, Test accuracy: 0.4619429111480713
Epoch 169, Loss: 1.3198848962783813, Test accuracy: 0.4631947875022888
Epoch 170, Loss: 1.319338321685791, Test accuracy: 0.4651978015899658
Epoch 171, Loss: 1.3187345266342163, Test accuracy: 0.4661993086338043
Epoch 172, Loss: 1.3167847394943237, Test accuracy: 0.4667000472545624
Epoch 173, Loss: 1.3140416145324707, Test accuracy: 0.46845269203186035
Epoch 174, Loss: 1.3121533393859863, Test accuracy: 0.4697045683860779
Epoch 175, Loss: 1.3090462684631348, Test accuracy: 0.47045570611953735
Epoch 176, Loss: 1.3062852621078491, Test accuracy: 0.47120681405067444
Epoch 177, Loss: 1.3075990676879883, Test accuracy: 0.47245869040489197
Epoch 178, Loss: 1.3050016164779663, Test accuracy: 0.47446170449256897
Epoch 179, Loss: 1.3026670217514038, Test accuracy: 0.4757135808467865
Epoch 180, Loss: 1.3036749362945557, Test accuracy: 0.47796696424484253
Epoch 181, Loss: 1.298655390739441, Test accuracy: 0.4807210862636566
Epoch 182, Loss: 1.2961182594299316, Test accuracy: 0.48397597670555115
Epoch 183, Loss: 1.296208381652832, Test accuracy: 0.4872308671474457
Epoch 184, Loss: 1.294389009475708, Test accuracy: 0.48898348212242126
Epoch 185, Loss: 1.2931876182556152, Test accuracy: 0.49098649621009827
Epoch 186, Loss: 1.290656566619873, Test accuracy: 0.49273911118507385
Epoch 187, Loss: 1.2886155843734741, Test accuracy: 0.4949924945831299
Epoch 188, Loss: 1.2865467071533203, Test accuracy: 0.49774661660194397
Epoch 189, Loss: 1.287001371383667, Test accuracy: 0.5007511377334595
Epoch 190, Loss: 1.2829151153564453, Test accuracy: 0.5022534132003784
Epoch 191, Loss: 1.280959963798523, Test accuracy: 0.5045067667961121
Epoch 192, Loss: 1.2802542448043823, Test accuracy: 0.5070105195045471
Epoch 193, Loss: 1.277492880821228, Test accuracy: 0.5087631344795227
Epoch 194, Loss: 1.275465488433838, Test accuracy: 0.5105158090591431
Epoch 195, Loss: 1.2734392881393433, Test accuracy: 0.5130195617675781
Epoch 196, Loss: 1.2729793787002563, Test accuracy: 0.5152729153633118
Epoch 197, Loss: 1.2700870037078857, Test accuracy: 0.5185278058052063
Epoch 198, Loss: 1.268129825592041, Test accuracy: 0.5202804207801819
Epoch 199, Loss: 1.2683022022247314, Test accuracy: 0.5215322971343994
Epoch 200, Loss: 1.2661001682281494, Test accuracy: 0.5227841734886169
Epoch 201, Loss: 1.2621108293533325, Test accuracy: 0.5235353112220764
Epoch 202, Loss: 1.2609074115753174, Test accuracy: 0.5250375866889954
Epoch 203, Loss: 1.258954405784607, Test accuracy: 0.5260390639305115
Epoch 204, Loss: 1.25724196434021, Test accuracy: 0.526790201663971
Epoch 205, Loss: 1.2569847106933594, Test accuracy: 0.5280420780181885
Epoch 206, Loss: 1.2554359436035156, Test accuracy: 0.5285428166389465
Epoch 207, Loss: 1.251653790473938, Test accuracy: 0.529293954372406
Epoch 208, Loss: 1.2512580156326294, Test accuracy: 0.529293954372406
Epoch 209, Loss: 1.2490931749343872, Test accuracy: 0.5305458307266235
Epoch 210, Loss: 1.2467515468597412, Test accuracy: 0.5305458307266235
Epoch 211, Loss: 1.2475882768630981, Test accuracy: 0.5305458307266235
Epoch 212, Loss: 1.2419661283493042, Test accuracy: 0.530796229839325
Epoch 213, Loss: 1.243595838546753, Test accuracy: 0.5317977070808411
Epoch 214, Loss: 1.2419962882995605, Test accuracy: 0.5322984457015991
Epoch 215, Loss: 1.2384483814239502, Test accuracy: 0.5335503220558167
Epoch 216, Loss: 1.2393462657928467, Test accuracy: 0.5350525975227356
Epoch 217, Loss: 1.2335293292999268, Test accuracy: 0.5350525975227356
Epoch 218, Loss: 1.2332395315170288, Test accuracy: 0.5355533361434937
Epoch 219, Loss: 1.2314013242721558, Test accuracy: 0.5358037352561951
Epoch 220, Loss: 1.2319345474243164, Test accuracy: 0.5375563502311707
Epoch 221, Loss: 1.2261241674423218, Test accuracy: 0.5385578274726868
